Decode1,Pal,
Time,Data,,
-107.9us,7FDF,,
-107.5us,7FDF,,
-107us,7FDF,,
-106.6us,7FE0,,
-106.2us,7FE0,,
-105.8us,7FE0,,
-105.4us,7FE0,,
-105us,7FE0,,
-104.5us,7FE0,,
-104.1us,7FE0,,
-103.7us,7FE0,,
-103.3us,7FE1,,
-102.9us,7FE1,,
-102.5us,7FE1,,
-102us,7FE1,,
-101.6us,7FE1,,
-101.2us,7FE1,,
-100.8us,7FE1,,
-100.4us,7FE1,,
-100us,7FE2,,
-99.58us,7FE2,,
-99.16us,7FE2,,
-98.75us,7FE2,,
-98.33us,7FE2,,
-97.91us,7FE2,,
-97.5us,7FE2,,
-97.08us,7FE2,,
-96.66us,7FE3,,
-96.25us,7FE3,,
-95.83us,7FE3,,
-95.41us,7FE3,,
-95us,7FE3,,
-94.58us,7FE3,,
-94.16us,7FE3,,
-93.75us,7FE3,,
-93.33us,7FE4,,
-92.91us,7FE4,,
-92.5us,7FE4,,
-92.08us,7FE4,,
-91.66us,7FE4,,
-91.25us,7FE4,,
-90.83us,7FE4,,
-90.41us,7FE4,,
-90us,7FE5,,
-89.58us,7FE5,,
-89.16us,7FE5,,
-88.75us,7FE5,,
-88.33us,7FE5,,
-87.91us,7FE5,,
-87.5us,7FE5,,
-87.08us,7FE5,,
-86.66us,7FE6,,
-86.25us,7FE6,,
-85.83us,7FE6,,
-85.41us,7FE6,,
-85us,7FE6,,
-84.58us,7FE6,,
-84.16us,7FE6,,
-83.75us,7FE6,,
-83.33us,7FE7,,
-82.91us,7FE7,,
-82.5us,7FE7,,
-82.08us,7FE7,,
-81.66us,7FE7,,
-81.25us,7FE7,,
-80.83us,7FE7,,
-80.41us,7FE7,,
-80us,7FE8,,
-79.58us,7FE8,,
-79.16us,7FE8,,
-78.75us,7FE8,,
-78.33us,7FE8,,
-77.91us,7FE8,,
-77.5us,7FE8,,
-77.08us,7FE8,,
-76.66us,7FE9,,
-76.25us,7FE9,,
-75.83us,7FE9,,
-75.41us,7FE9,,
-75us,7FE9,,
-74.58us,7FE9,,
-74.16us,7FE9,,
-73.75us,7FE9,,
-73.33us,7FEA,,
-72.91us,7FEA,,
-72.5us,7FEA,,
-72.08us,7FEA,,
-71.66us,7FEA,,
-71.25us,7FEA,,
-70.83us,7FEA,,
-70.41us,7FEA,,
-70us,7FEB,,
-69.58us,7FEB,,
-69.16us,7FEB,,
-68.75us,7FEB,,
-68.33us,7FEB,,
-67.91us,7FEB,,
-67.5us,7FEB,,
-67.08us,7FEB,,
-66.66us,7FEC,,
-66.25us,7FEC,,
-65.83us,7FEC,,
-65.41us,7FEC,,
-65us,7FEC,,
-64.58us,7FEC,,
-64.16us,7FEC,,
-63.75us,7FEC,,
-63.33us,7FED,,
-62.91us,7FED,,
-62.5us,7FED,,
-62.08us,7FED,,
-61.66us,7FED,,
-61.25us,7FED,,
-60.83us,7FED,,
-60.41us,7FED,,
-60us,7FEE,,
-59.58us,7FEE,,
-59.16us,7FEE,,
-58.75us,7FEE,,
-58.33us,7FEE,,
-57.91us,7FEE,,
-57.5us,7FEE,,
-57.08us,7FEE,,
-56.66us,7FEF,,
-56.25us,7FEF,,
-55.83us,7FEF,,
-55.41us,7FEF,,
-55us,7FEF,,
-54.58us,7FEF,,
-54.16us,7FEF,,
-53.75us,7FEF,,
-53.33us,7FF0,,
-52.91us,7FF0,,
-52.5us,7FF0,,
-52.08us,7FF0,,
-51.66us,7FF0,,
-51.25us,7FF0,,
-50.83us,7FF0,,
-50.41us,7FF0,,
-50us,7FF1,,
-49.58us,7FF1,,
-49.16us,7FF1,,
-48.75us,7FF1,,
-48.33us,7FF1,,
-47.91us,7FF1,,
-47.5us,7FF1,,
-47.08us,7FF1,,
-46.66us,7FF2,,
-46.25us,7FF2,,
-45.83us,7FF2,,
-45.41us,7FF2,,
-45us,7FF2,,
-44.58us,7FF2,,
-44.16us,7FF2,,
-43.75us,7FF2,,
-43.33us,7FF3,,
-42.91us,7FF3,,
-42.5us,7FF3,,
-42.08us,7FF3,,
-41.66us,7FF3,,
-41.25us,7FF3,,
-40.83us,7FF3,,
-40.41us,7FF3,,
-40us,7FF4,,
-39.58us,7FF4,,
-39.16us,7FF4,,
-38.75us,7FF4,,
-38.33us,7FF4,,
-37.91us,7FF4,,
-37.5us,7FF4,,
-37.08us,7FF4,,
-36.66us,7FF5,,
-36.25us,7FF5,,
-35.83us,7FF5,,
-35.41us,7FF5,,
-35us,7FF5,,
-34.58us,7FF5,,
-34.16us,7FF5,,
-33.75us,7FF5,,
-33.33us,7FF6,,
-32.91us,7FF6,,
-32.5us,7FF6,,
-32.08us,7FF6,,
-31.66us,7FF6,,
-31.25us,7FF6,,
-30.83us,7FF6,,
-30.41us,7FF6,,
-30us,7FF7,,
-29.58us,7FF7,,
-29.16us,7FF7,,
-28.75us,7FF7,,
-28.33us,7FF7,,
-27.91us,7FF7,,
-27.5us,7FF7,,
-27.08us,7FF7,,
-26.66us,7FF8,,
-26.25us,7FF8,,
-25.83us,7FF8,,
-25.41us,7FF8,,
-25us,7FF8,,
-24.58us,7FF8,,
-24.16us,7FF8,,
-23.75us,7FF8,,
-23.33us,7FF9,,
-22.91us,7FF9,,
-22.5us,7FF9,,
-22.08us,7FF9,,
-21.66us,7FF9,,
-21.25us,7FF9,,
-20.83us,7FF9,,
-20.41us,7FF9,,
-20us,7FFA,,
-19.58us,7FFA,,
-19.16us,7FFA,,
-18.75us,7FFA,,
-18.33us,7FFA,,
-17.91us,7FFA,,
-17.5us,7FFA,,
-17.08us,7FFA,,
-16.66us,7FFB,,
-16.25us,7FFB,,
-15.83us,7FFB,,
-15.41us,7FFB,,
-15us,7FFB,,
